bowling_team,bowler,batting_team,striker
Rajasthan Royals,A Zampa,Kolkata Knight Riders,UT Yadav
Gujarat Titans,MM Sharma,Royal Challengers Bangalore,MG Bracewell
Punjab Kings,K Rabada,Royal Challengers Bangalore,HV Patel
Punjab Kings,MW Short,Royal Challengers Bangalore,Shahbaz Ahmed
Kolkata Knight Riders,AD Russell,Royal Challengers Bangalore,Anuj Rawat
Royal Challengers Bangalore,Vijaykumar Vyshak,Royal Challengers Bangalore,DJ Willey
Royal Challengers Bangalore,PWH de Silva,Royal Challengers Bangalore,KV Sharma
Lucknow Super Giants,Yudhvir Singh,Royal Challengers Bangalore,Akash Deep
Mumbai Indians,Arjun Tendulkar,Sunrisers Hyderabad,Anmolpreet Singh
Mumbai Indians,Duan Jansen,Sunrisers Hyderabad,AK Markram
Gujarat Titans,Noor Ahmad,Lucknow Super Giants,R Shepherd
Chennai Super Kings,M Pathirana,Delhi Capitals,MK Pandey
Lucknow Super Giants,Naveen-ul-Haq,Delhi Capitals,Lalit Yadav
Lucknow Super Giants,MP Stoinis,Mumbai Indians,T Stubbs
Punjab Kings,LS Livingstone,Mumbai Indians,PP Chawla
Delhi Capitals,I Sharma,Chennai Super Kings,AM Rahane
Kolkata Knight Riders,K Khejroliya,Gujarat Titans,A Manohar
Kolkata Knight Riders,AS Roy,Kolkata Knight Riders,N Jagadeesan
Kolkata Knight Riders,N Rana,Punjab Kings,MW Short
Sunrisers Hyderabad,Mayank Dagar,Punjab Kings,Harpreet Brar
Gujarat Titans,J Yadav,Punjab Kings,RD Chahar
Gujarat Titans,R Tewatia,Punjab Kings,NT Ellis
Kolkata Knight Riders,D Wiese,Punjab Kings,Mohit Rathee
Kolkata Knight Riders,VG Arora,Lucknow Super Giants,JD Unadkat
Rajasthan Royals,K Yadav,Lucknow Super Giants,Ravi Bishnoi
Punjab Kings,Gurnoor Brar,Lucknow Super Giants,Avesh Khan
Lucknow Super Giants,A Badoni,Delhi Capitals,YV Dhull
Kolkata Knight Riders,Harshit Rana,Delhi Capitals,Mustafizur Rahman
Sunrisers Hyderabad,AJ Hosein,Rajasthan Royals,A Zampa
Sunrisers Hyderabad,Abhishek Sharma,Punjab Kings,R Dhawan
Royal Challengers Bangalore,JR Hazlewood,Sunrisers Hyderabad,H Klaasen
Royal Challengers Bangalore,MK Lomror,Royal Challengers Bangalore,MK Lomror
Mumbai Indians,Akash Madhwal,Lucknow Super Giants,Yudhvir Singh
Sunrisers Hyderabad,Kartik Tyagi,Punjab Kings,Harpreet Singh
Mumbai Indians,R Goyal,Punjab Kings,K Rabada
Mumbai Indians,T Stubbs,Rajasthan Royals,TA Boult
Lucknow Super Giants,Mohsin Khan (2),Royal Challengers Bangalore,SS Prabhudessai
Lucknow Super Giants,Swapnil Singh,Royal Challengers Bangalore,WD Parnell
Sunrisers Hyderabad,Vivrant Sharma,Royal Challengers Bangalore,PWH de Silva
Rajasthan Royals,OC McCoy,Sunrisers Hyderabad,M Jansen
Mumbai Indians,CJ Jordan,Sunrisers Hyderabad,M Markande
Rajasthan Royals,JE Root,Punjab Kings,LS Livingstone
Sunrisers Hyderabad,GD Phillips,Kolkata Knight Riders,Liton Das
Delhi Capitals,P Dubey,Kolkata Knight Riders,CV Varun
Sunrisers Hyderabad,Nithish Kumar Reddy,Delhi Capitals,PD Salt
Royal Challengers Bangalore,H Sharma,Mumbai Indians,JC Archer
Gujarat Titans,DG Nalkande,Royal Challengers Bangalore,Vijaykumar Vyshak
,,Royal Challengers Bangalore,Mohammed Siraj
,,Rajasthan Royals,Abdul Basith
,,Kolkata Knight Riders,D Wiese
,,Delhi Capitals,RV Patel
,,Delhi Capitals,I Sharma
,,Mumbai Indians,Arjun Tendulkar
,,Mumbai Indians,JP Behrendorff
,,Mumbai Indians,RP Meredith
,,Punjab Kings,Arshdeep Singh
,,Sunrisers Hyderabad,AJ Hosein
,,Delhi Capitals,PK Garg
,,Royal Challengers Bangalore,JR Hazlewood
,,Lucknow Super Giants,A Mishra
,,Lucknow Super Giants,Naveen-ul-Haq
,,Lucknow Super Giants,M Vohra
,,Lucknow Super Giants,KS Sharma
,,Kolkata Knight Riders,Harshit Rana
,,Kolkata Knight Riders,VG Arora
,,Rajasthan Royals,Sandeep Sharma
,,Lucknow Super Giants,Q de Kock
,,Lucknow Super Giants,Swapnil Singh
,,Royal Challengers Bangalore,KM Jadhav
,,Chennai Super Kings,DL Chahar
,,Chennai Super Kings,TU Deshpande
,,Mumbai Indians,Vishnu Vinod
,,Gujarat Titans,Noor Ahmad
,,Gujarat Titans,AS Joseph
,,Lucknow Super Giants,PN Mankad
,,Delhi Capitals,P Dubey
,,Rajasthan Royals,JE Root
,,Rajasthan Royals,KM Asif
,,Gujarat Titans,MD Shanaka
,,Gujarat Titans,Mohammed Shami
,,Gujarat Titans,MM Sharma
,,Sunrisers Hyderabad,Sanvir Singh
,,Sunrisers Hyderabad,Fazalhaq Farooqi
,,Sunrisers Hyderabad,Vivrant Sharma
,,Gujarat Titans,DG Nalkande
,,Mumbai Indians,CJ Jordan
,,Lucknow Super Giants,Mohsin Khan (2)
,,Mumbai Indians,K Kartikeya
