bowler,bowling_team
L Ablish,Punjab Kings
S Sriram,Royal Challengers Bangalore
AJ Finch,Rajasthan Royals
MK Tiwary,Kolkata Knight Riders
STR Binny,Mumbai Indians
ND Doshi,Royal Challengers Bangalore
YK Pathan,Kolkata Knight Riders
L Balaji,Kolkata Knight Riders
JH Kallis,Kolkata Knight Riders
S Ladda,Kolkata Knight Riders
R Bhatia,Kolkata Knight Riders
TG Southee,Chennai Super Kings
S Randiv,Chennai Super Kings
JDP Oram,Rajasthan Royals
AL Menaria,Rajasthan Royals
STR Binny,Rajasthan Royals
DW Steyn,Deccan Chargers
I Sharma,Deccan Chargers
DT Christian,Deccan Chargers
A Mishra,Deccan Chargers
DP Nannes,Royal Challengers Bangalore
DL Vettori,Royal Challengers Bangalore
TM Dilshan,Royal Challengers Bangalore
AUK Pathan,Royal Challengers Bangalore
RP Singh,Kochi Tuskers Kerala
S Sreesanth,Kochi Tuskers Kerala
RA Jadeja,Kochi Tuskers Kerala
R Vinay Kumar,Kochi Tuskers Kerala
M Muralitharan,Kochi Tuskers Kerala
RV Gomez,Kochi Tuskers Kerala
AC Thomas,Pune Warriors
SB Wagh,Pune Warriors
WD Parnell,Pune Warriors
M Kartik,Pune Warriors
JD Ryder,Pune Warriors
M Manhas,Pune Warriors
R Sharma,Pune Warriors
P Kumar,Punjab Kings
NJ Rimmington,Punjab Kings
R McLaren,Punjab Kings
AM Nayar,Punjab Kings
MM Patel,Mumbai Indians
JEC Franklin,Mumbai Indians
AB Dinda,Delhi Capitals
M Morkel,Delhi Capitals
IK Pathan,Delhi Capitals
RE van der Merwe,Delhi Capitals
AJ Finch,Delhi Capitals
JP Duminy,Deccan Chargers
RN ten Doeschate,Kolkata Knight Riders
S Nadeem,Delhi Capitals
Yuvraj Singh,Pune Warriors
BJ Hodge,Kochi Tuskers Kerala
RJ Harris,Punjab Kings
BA Bhatt,Punjab Kings
SB Styris,Chennai Super Kings
JJ van der Wath,Royal Challengers Bangalore
S Aravind,Royal Challengers Bangalore
R Ninan,Royal Challengers Bangalore
MS Gony,Deccan Chargers
B Lee,Kolkata Knight Riders
Shakib Al Hasan,Kolkata Knight Riders
ND Doshi,Rajasthan Royals
NLTC Perera,Kochi Tuskers Kerala
RR Powar,Kochi Tuskers Kerala
PC Valthaty,Punjab Kings
Y Venugopal Rao,Delhi Capitals
JR Hopes,Delhi Capitals
AA Jhunjhunwala,Pune Warriors
S Dhawan,Deccan Chargers
J Syed Mohammad,Royal Challengers Bangalore
CH Gayle,Royal Challengers Bangalore
RG Sharma,Mumbai Indians
DJ Hussey,Punjab Kings
VR Aaron,Delhi Capitals
AB Agarkar,Delhi Capitals
NL McCullum,Pune Warriors
JE Taylor,Pune Warriors
KMDN Kulasekara,Chennai Super Kings
MR Marsh,Pune Warriors
Kamran Khan,Pune Warriors
B Akhil,Kochi Tuskers Kerala
TL Suman,Mumbai Indians
A Symonds,Mumbai Indians
P Parameswaran,Kochi Tuskers Kerala
I Malhotra,Deccan Chargers
B Chipli,Deccan Chargers
B Kumar,Pune Warriors
DJ Bravo,Chennai Super Kings
CK Langeveldt,Royal Challengers Bangalore
AA Kazi,Royal Challengers Bangalore
LRPL Taylor,Rajasthan Royals
Anand Rajan,Deccan Chargers
S Sriram,Delhi Capitals
P Prasanth,Kochi Tuskers Kerala
Y Gnaneswara Rao,Kochi Tuskers Kerala
AA Chavan,Rajasthan Royals
S Rana,Pune Warriors
JP Faulkner,Pune Warriors
SS Mundhe,Pune Warriors
RW Price,Mumbai Indians
PP Ojha,Mumbai Indians
RA Jadeja,Chennai Super Kings
GJ Maxwell,Delhi Capitals
M de Lange,Kolkata Knight Riders
AB Dinda,Pune Warriors
MN Samuels,Pune Warriors
JP Faulkner,Punjab Kings
Harmeet Singh,Punjab Kings
KK Cooper,Rajasthan Royals
BJ Hodge,Rajasthan Royals
Ankit Sharma,Deccan Chargers
DJ Harris,Deccan Chargers
TP Sudhindra,Deccan Chargers
F du Plessis,Chennai Super Kings
DAJ Bracewell,Delhi Capitals
AB McDonald,Royal Challengers Bangalore
M Muralitharan,Royal Challengers Bangalore
HV Patel,Royal Challengers Bangalore
AD Mascarenhas,Punjab Kings
A Nehra,Pune Warriors
SP Narine,Kolkata Knight Riders
CL White,Deccan Chargers
KP Pietersen,Delhi Capitals
GB Hogg,Rajasthan Royals
RR Bhatkal,Royal Challengers Bangalore
P Awana,Punjab Kings
AD Mathews,Pune Warriors
VY Mahesh,Chennai Super Kings
RP Singh,Mumbai Indians
CJ McKay,Mumbai Indians
V Pratap Singh,Deccan Chargers
Azhar Mahmood,Punjab Kings
SC Ganguly,Pune Warriors
NLTC Perera,Mumbai Indians
A Chandila,Rajasthan Royals
P Negi,Delhi Capitals
LJ Wright,Pune Warriors
RJ Peterson,Mumbai Indians
J Theron,Deccan Chargers
A Ashish Reddy,Deccan Chargers
R Shukla,Mumbai Indians
MJ Clarke,Pune Warriors
AA Jhunjhunwala,Deccan Chargers
BW Hilfenhaus,Chennai Super Kings
P Parameswaran,Royal Challengers Bangalore
PJ Sangwan,Kolkata Knight Riders
SPD Smith,Pune Warriors
AD Russell,Delhi Capitals
K Upadhyay,Pune Warriors
AG Murtaza,Pune Warriors
Sunny Gupta,Delhi Capitals
J Botha,Delhi Capitals
MG Johnson,Mumbai Indians
JJ Bumrah,Mumbai Indians
JDP Oram,Mumbai Indians
JD Unadkat,Royal Challengers Bangalore
DT Christian,Royal Challengers Bangalore
M Kartik,Royal Challengers Bangalore
DW Steyn,Sunrisers Hyderabad
I Sharma,Sunrisers Hyderabad
NLTC Perera,Sunrisers Hyderabad
A Mishra,Sunrisers Hyderabad
CL White,Sunrisers Hyderabad
A Ashish Reddy,Sunrisers Hyderabad
S Badree,Rajasthan Royals
S Sreesanth,Rajasthan Royals
R Shukla,Rajasthan Royals
DP Nannes,Chennai Super Kings
AS Rajpoot,Chennai Super Kings
B Laughlin,Chennai Super Kings
GH Vihari,Sunrisers Hyderabad
Ankit Sharma,Sunrisers Hyderabad
MC Henriques,Royal Challengers Bangalore
Mohammed Shami,Kolkata Knight Riders
RP Singh,Royal Challengers Bangalore
BMAJ Mendis,Delhi Capitals
CH Morris,Chennai Super Kings
R Sathish,Punjab Kings
R McLaren,Kolkata Knight Riders
Harmeet Singh (2),Rajasthan Royals
JP Faulkner,Rajasthan Royals
Anand Rajan,Sunrisers Hyderabad
S Kaul,Delhi Capitals
AJ Finch,Pune Warriors
R Dhawan,Mumbai Indians
MM Sharma,Chennai Super Kings
R Rampaul,Royal Challengers Bangalore
KV Sharma,Sunrisers Hyderabad
SMSM Senanayake,Kolkata Knight Riders
AM Nayar,Pune Warriors
MS Gony,Punjab Kings
BAW Mendis,Pune Warriors
JO Holder,Chennai Super Kings
IC Pandey,Pune Warriors
YS Chahal,Mumbai Indians
DJG Sammy,Sunrisers Hyderabad
KW Richardson,Pune Warriors
TL Suman,Pune Warriors
S Narwal,Kolkata Knight Riders
P Suyal,Mumbai Indians
MG Neser,Punjab Kings
PV Tambe,Rajasthan Royals
BJ Rohrer,Delhi Capitals
Parvez Rasool,Pune Warriors
GJ Maxwell,Mumbai Indians
Sandeep Sharma,Punjab Kings
VS Malik,Rajasthan Royals
RV Gomez,Pune Warriors
NM Coulter-Nile,Mumbai Indians
AC Gilchrist,Punjab Kings
CJ Anderson,Mumbai Indians
R Vinay Kumar,Kolkata Knight Riders
M Morkel,Kolkata Knight Riders
PP Chawla,Kolkata Knight Riders
MA Starc,Royal Challengers Bangalore
JA Morkel,Royal Challengers Bangalore
VR Aaron,Royal Challengers Bangalore
YS Chahal,Royal Challengers Bangalore
AB Dinda,Royal Challengers Bangalore
Yuvraj Singh,Royal Challengers Bangalore
JP Duminy,Delhi Capitals
Mohammed Shami,Delhi Capitals
WD Parnell,Delhi Capitals
R Sharma,Delhi Capitals
JDS Neesham,Delhi Capitals
AR Patel,Punjab Kings
MG Johnson,Punjab Kings
L Balaji,Punjab Kings
R Dhawan,Punjab Kings
GJ Maxwell,Punjab Kings
A Nehra,Chennai Super Kings
P Negi,Chennai Super Kings
DR Smith,Chennai Super Kings
DS Kulkarni,Rajasthan Royals
KW Richardson,Rajasthan Royals
R Bhatia,Rajasthan Royals
B Kumar,Sunrisers Hyderabad
NM Coulter-Nile,Delhi Capitals
JD Unadkat,Delhi Capitals
M Kartik,Punjab Kings
M Vijay,Delhi Capitals
IC Pandey,Chennai Super Kings
IK Pathan,Sunrisers Hyderabad
TG Southee,Rajasthan Royals
UT Yadav,Kolkata Knight Riders
LR Shukla,Delhi Capitals
Y Venugopal Rao,Sunrisers Hyderabad
Iqbal Abdulla,Rajasthan Royals
AD Russell,Kolkata Knight Riders
R Tewatia,Rajasthan Royals
SA Yadav,Kolkata Knight Riders
MC Henriques,Sunrisers Hyderabad
Shivam Sharma,Punjab Kings
S Badree,Chennai Super Kings
P Kumar,Mumbai Indians
Imran Tahir,Delhi Capitals
R Shukla,Delhi Capitals
V Shankar,Chennai Super Kings
Ankit Sharma,Rajasthan Royals
AN Ahmed,Royal Challengers Bangalore
LMP Simmons,Mumbai Indians
BCJ Cutting,Rajasthan Royals
S Rana,Royal Challengers Bangalore
DJ Hussey,Chennai Super Kings
BE Hendricks,Punjab Kings
K Santokie,Mumbai Indians
S Gopal,Mumbai Indians
Parvez Rasool,Sunrisers Hyderabad
PJ Cummins,Kolkata Knight Riders
JW Hastings,Chennai Super Kings
M de Lange,Mumbai Indians
Karanveer Singh,Punjab Kings
SB Jakati,Royal Challengers Bangalore
JO Holder,Sunrisers Hyderabad
Anureet Singh,Punjab Kings
NLTC Perera,Punjab Kings
CH Morris,Rajasthan Royals
DJ Hooda,Rajasthan Royals
Iqbal Abdulla,Royal Challengers Bangalore
D Wiese,Royal Challengers Bangalore
MJ McClenaghan,Mumbai Indians
HH Pandya,Mumbai Indians
DJ Muthuswami,Delhi Capitals
AD Mathews,Delhi Capitals
J Botha,Kolkata Knight Riders
P Kumar,Sunrisers Hyderabad
Bipul Sharma,Sunrisers Hyderabad
RS Bopara,Sunrisers Hyderabad
R Vinay Kumar,Mumbai Indians
JA Morkel,Delhi Capitals
SA Abbott,Royal Challengers Bangalore
DJG Sammy,Royal Challengers Bangalore
KC Cariappa,Kolkata Knight Riders
TA Boult,Sunrisers Hyderabad
Yuvraj Singh,Delhi Capitals
J Suchith,Mumbai Indians
M Vijay,Punjab Kings
GB Hogg,Kolkata Knight Riders
RG More,Chennai Super Kings
Z Khan,Delhi Capitals
SN Thakur,Punjab Kings
J Theron,Rajasthan Royals
GS Sandhu,Delhi Capitals
Gurkeerat Singh,Punjab Kings
J Yadav,Delhi Capitals
Azhar Mahmood,Kolkata Knight Riders
BB Sran,Rajasthan Royals
RP Singh,Rising Pune Supergiant
I Sharma,Rising Pune Supergiant
MR Marsh,Rising Pune Supergiant
R Bhatia,Rising Pune Supergiant
M Ashwin,Rising Pune Supergiant
R Ashwin,Rising Pune Supergiant
JW Hastings,Kolkata Knight Riders
C Munro,Kolkata Knight Riders
CH Morris,Delhi Capitals
CR Brathwaite,Delhi Capitals
P Kumar,Gujarat Lions
PJ Sangwan,Gujarat Lions
JP Faulkner,Gujarat Lions
S Ladda,Gujarat Lions
RA Jadeja,Gujarat Lions
DJ Bravo,Gujarat Lions
MM Sharma,Punjab Kings
MP Stoinis,Punjab Kings
P Sahu,Punjab Kings
A Nehra,Sunrisers Hyderabad
Mustafizur Rahman,Sunrisers Hyderabad
AF Milne,Royal Challengers Bangalore
SR Watson,Royal Challengers Bangalore
Parvez Rasool,Royal Challengers Bangalore
TG Southee,Mumbai Indians
Kuldeep Yadav,Kolkata Knight Riders
SB Jakati,Gujarat Lions
PV Tambe,Gujarat Lions
BB Sran,Sunrisers Hyderabad
DS Kulkarni,Gujarat Lions
KH Pandya,Mumbai Indians
KJ Abbott,Punjab Kings
Ankit Sharma,Rising Pune Supergiant
IK Pathan,Rising Pune Supergiant
NLTC Perera,Rising Pune Supergiant
KW Richardson,Royal Challengers Bangalore
STR Binny,Royal Challengers Bangalore
DJ Hooda,Sunrisers Hyderabad
DW Steyn,Gujarat Lions
SK Raina,Gujarat Lions
T Shamsi,Royal Challengers Bangalore
R Sathish,Kolkata Knight Riders
JA Morkel,Rising Pune Supergiant
AB Dinda,Rising Pune Supergiant
DR Smith,Gujarat Lions
S Kaushik,Gujarat Lions
JO Holder,Kolkata Knight Riders
KC Cariappa,Punjab Kings
SM Boland,Rising Pune Supergiant
Swapnil Singh,Punjab Kings
Yuvraj Singh,Sunrisers Hyderabad
CJ Jordan,Royal Challengers Bangalore
A Zampa,Rising Pune Supergiant
Sachin Baby,Royal Challengers Bangalore
AS Rajpoot,Kolkata Knight Riders
BCJ Cutting,Sunrisers Hyderabad
N Rana,Mumbai Indians
DL Chahar,Rising Pune Supergiant
KS Williamson,Sunrisers Hyderabad
TS Mills,Royal Challengers Bangalore
A Choudhary,Royal Challengers Bangalore
TM Head,Royal Challengers Bangalore
Rashid Khan,Sunrisers Hyderabad
BA Stokes,Rising Pune Supergiant
Imran Tahir,Rising Pune Supergiant
TA Boult,Kolkata Knight Riders
CR Woakes,Kolkata Knight Riders
MS Gony,Gujarat Lions
PJ Cummins,Delhi Capitals
B Stanlake,Royal Challengers Bangalore
P Negi,Royal Challengers Bangalore
T Natarajan,Punjab Kings
DT Christian,Rising Pune Supergiant
RD Chahar,Rising Pune Supergiant
Tejas Baroka,Gujarat Lions
Basil Thampi,Gujarat Lions
VR Aaron,Punjab Kings
CJ Anderson,Delhi Capitals
C de Grandhomme,Kolkata Knight Riders
I Sharma,Punjab Kings
S Badree,Royal Challengers Bangalore
AJ Tye,Gujarat Lions
LH Ferguson,Rising Pune Supergiant
SN Thakur,Rising Pune Supergiant
MM Patel,Gujarat Lions
JD Unadkat,Rising Pune Supergiant
NM Coulter-Nile,Kolkata Knight Riders
S Kaul,Sunrisers Hyderabad
Mohammad Nabi,Sunrisers Hyderabad
Mohammed Siraj,Sunrisers Hyderabad
K Rabada,Delhi Capitals
Washington Sundar,Rising Pune Supergiant
SS Agarwal,Gujarat Lions
NB Singh,Gujarat Lions
KV Sharma,Mumbai Indians
RA Tripathi,Rising Pune Supergiant
Ankit Soni,Gujarat Lions
IK Pathan,Gujarat Lions
MN Samuels,Delhi Capitals
MJ Henry,Punjab Kings
R Tewatia,Punjab Kings
Avesh Khan,Royal Challengers Bangalore
CJ Jordan,Sunrisers Hyderabad
DL Chahar,Chennai Super Kings
Harbhajan Singh,Chennai Super Kings
Imran Tahir,Chennai Super Kings
NA Saini,Royal Challengers Bangalore
MM Ali,Royal Challengers Bangalore
UT Yadav,Royal Challengers Bangalore
Mohammed Siraj,Royal Challengers Bangalore
S Dube,Royal Challengers Bangalore
M Prasidh Krishna,Kolkata Knight Riders
LH Ferguson,Kolkata Knight Riders
N Rana,Kolkata Knight Riders
Shakib Al Hasan,Sunrisers Hyderabad
Sandeep Sharma,Sunrisers Hyderabad
Rasikh Salam,Mumbai Indians
BCJ Cutting,Mumbai Indians
TA Boult,Delhi Capitals
I Sharma,Delhi Capitals
R Tewatia,Delhi Capitals
KMA Paul,Delhi Capitals
AR Patel,Delhi Capitals
K Gowtham,Rajasthan Royals
JC Archer,Rajasthan Royals
BA Stokes,Rajasthan Royals
JD Unadkat,Rajasthan Royals
S Gopal,Rajasthan Royals
SM Curran,Punjab Kings
Mujeeb Ur Rahman,Punjab Kings
Mohammed Shami,Punjab Kings
R Ashwin,Punjab Kings
AS Rajpoot,Punjab Kings
SN Thakur,Chennai Super Kings
CV Varun,Punjab Kings
GC Viljoen,Punjab Kings
AJ Tye,Punjab Kings
Mandeep Singh,Punjab Kings
C de Grandhomme,Royal Challengers Bangalore
M Markande,Mumbai Indians
S Nadeem,Sunrisers Hyderabad
V Shankar,Sunrisers Hyderabad
M Ashwin,Punjab Kings
S Lamichhane,Delhi Capitals
HV Patel,Delhi Capitals
P Ray Barman,Royal Challengers Bangalore
MJ Santner,Chennai Super Kings
Avesh Khan,Delhi Capitals
GH Vihari,Delhi Capitals
VR Aaron,Rajasthan Royals
MP Stoinis,Royal Challengers Bangalore
JP Behrendorff,Mumbai Indians
RD Chahar,Mumbai Indians
TG Southee,Royal Challengers Bangalore
SC Kuggeleijn,Chennai Super Kings
YK Pathan,Sunrisers Hyderabad
AS Joseph,Mumbai Indians
HF Gurney,Kolkata Knight Riders
S Midhun,Rajasthan Royals
R Parag,Rajasthan Royals
CR Brathwaite,Kolkata Knight Riders
LS Livingstone,Rajasthan Royals
SN Khan,Punjab Kings
KK Ahmed,Sunrisers Hyderabad
Abhishek Sharma,Sunrisers Hyderabad
IS Sodhi,Rajasthan Royals
Arshdeep Singh,Punjab Kings
KV Sharma,Chennai Super Kings
SR Watson,Chennai Super Kings
MA Wood,Chennai Super Kings
Mustafizur Rahman,Mumbai Indians
DT Christian,Delhi Capitals
MG Johnson,Kolkata Knight Riders
CR Woakes,Royal Challengers Bangalore
Washington Sundar,Royal Challengers Bangalore
K Khejroliya,Royal Challengers Bangalore
B Stanlake,Sunrisers Hyderabad
B Laughlin,Rajasthan Royals
DJM Short,Rajasthan Royals
TK Curran,Kolkata Knight Riders
PJ Sangwan,Mumbai Indians
A Dananjaya,Mumbai Indians
Shivam Mavi,Kolkata Knight Riders
BB Sran,Punjab Kings
V Shankar,Delhi Capitals
CJ Anderson,Royal Challengers Bangalore
LE Plunkett,Delhi Capitals
Basil Thampi,Sunrisers Hyderabad
MK Tiwary,Punjab Kings
MK Lomror,Rajasthan Royals
M Ashwin,Royal Challengers Bangalore
L Ngidi,Chennai Super Kings
KM Asif,Chennai Super Kings
DJ Willey,Chennai Super Kings
Anureet Singh,Rajasthan Royals
JPR Scantlebury-Searles,Kolkata Knight Riders
CJ Dala,Delhi Capitals
CR Brathwaite,Sunrisers Hyderabad
J Yadav,Mumbai Indians
SE Rutherford,Delhi Capitals
Harpreet Brar,Punjab Kings
Y Prithvi Raj,Kolkata Knight Riders
O Thomas,Rajasthan Royals
AS Roy,Mumbai Indians
BB Sran,Mumbai Indians
S Sandeep Warrier,Kolkata Knight Riders
J Suchith,Delhi Capitals
SM Curran,Chennai Super Kings
PP Chawla,Chennai Super Kings
TA Boult,Mumbai Indians
JL Pattinson,Mumbai Indians
SS Cottrell,Punjab Kings
CJ Jordan,Punjab Kings
K Gowtham,Punjab Kings
Ravi Bishnoi,Punjab Kings
A Nortje,Delhi Capitals
MM Sharma,Delhi Capitals
R Ashwin,Delhi Capitals
MP Stoinis,Delhi Capitals
T Natarajan,Sunrisers Hyderabad
MR Marsh,Sunrisers Hyderabad
TK Curran,Rajasthan Royals
JR Hazlewood,Chennai Super Kings
JDS Neesham,Punjab Kings
CV Varun,Kolkata Knight Riders
KL Nagarkoti,Kolkata Knight Riders
AS Rajpoot,Rajasthan Royals
I Udana,Royal Challengers Bangalore
A Zampa,Royal Challengers Bangalore
Abdul Samad,Sunrisers Hyderabad
Kartik Tyagi,Rajasthan Royals
AJ Tye,Rajasthan Royals
CH Morris,Royal Challengers Bangalore
TU Deshpande,Delhi Capitals
CJ Green,Kolkata Knight Riders
Shahbaz Ahmed,Royal Challengers Bangalore
DJ Hooda,Punjab Kings
DR Sams,Delhi Capitals
Monu Kumar,Chennai Super Kings
DA Warner,Sunrisers Hyderabad
CH Gayle,Punjab Kings
P Dubey,Delhi Capitals
KA Jamieson,Royal Challengers Bangalore
M Jansen,Mumbai Indians
CR Woakes,Delhi Capitals
TK Curran,Delhi Capitals
MM Ali,Chennai Super Kings
Harbhajan Singh,Kolkata Knight Riders
C Sakariya,Rajasthan Royals
Mustafizur Rahman,Rajasthan Royals
S Dube,Rajasthan Royals
JA Richardson,Punjab Kings
RP Meredith,Punjab Kings
Mujeeb Ur Rahman,Sunrisers Hyderabad
AF Milne,Mumbai Indians
GJ Maxwell,Royal Challengers Bangalore
LI Meriwala,Delhi Capitals
Lalit Yadav,Delhi Capitals
Jalaj S Saxena,Punjab Kings
FA Allen,Punjab Kings
MC Henriques,Punjab Kings
J Suchith,Sunrisers Hyderabad
DR Sams,Royal Challengers Bangalore
JDS Neesham,Mumbai Indians
PWH de Silva,Royal Challengers Bangalore
IC Porel,Punjab Kings
AU Rashid,Punjab Kings
T Shamsi,Rajasthan Royals
NT Ellis,Punjab Kings
VR Iyer,Kolkata Knight Riders
TG Southee,Kolkata Knight Riders
AK Markram,Punjab Kings
GHS Garton,Royal Challengers Bangalore
Akash Singh,Rajasthan Royals
M Markande,Rajasthan Royals
GD Phillips,Rajasthan Royals
Umran Malik,Sunrisers Hyderabad
K Yadav,Rajasthan Royals
PP Chawla,Mumbai Indians
RV Patel,Delhi Capitals
TU Deshpande,Chennai Super Kings
AF Milne,Chennai Super Kings
S Dube,Chennai Super Kings
SN Thakur,Delhi Capitals
KK Ahmed,Delhi Capitals
KL Nagarkoti,Delhi Capitals
Kuldeep Yadav,Delhi Capitals
DR Sams,Mumbai Indians
Basil Thampi,Mumbai Indians
M Ashwin,Mumbai Indians
TS Mills,Mumbai Indians
OF Smith,Punjab Kings
RD Chahar,Punjab Kings
LS Livingstone,Punjab Kings
DJ Willey,Royal Challengers Bangalore
Akash Deep,Royal Challengers Bangalore
Mohammed Shami,Gujarat Titans
VR Aaron,Gujarat Titans
LH Ferguson,Gujarat Titans
HH Pandya,Gujarat Titans
Rashid Khan,Gujarat Titans
